Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
BDL,"Flanigan&#39;s Enterprises, Inc.",20.95,38938654.65,n/a,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/bdl
PLX,"Protalix BioTherapeutics, Inc.",0.26,38579397.74,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/plx
ARMP,"Armata Pharmaceuticals, Inc.",3.85,38346296.45,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/armp
TAT,Transatlantic Petroleum Ltd,0.72,37960535.52,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tat
XTNT,"Xtant Medical Holdings, Inc.",2.86,37642639.32,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xtnt
FSI,Flexible Solutions International Inc.,3.19,37439578.55,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/fsi
ATNM,"Actinium Pharmaceuticals, Inc.",0.2256,36643215.36,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/atnm
MCF,Contango Oil & Gas Company,1.05,36156126.30,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mcf
CTEK,"CynergisTek, Inc.",3.69,36064292.49,n/a,2017,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ctek
CCA,MFS California Insured Municipal Trust,12.79,35636457.25,n/a,1999,n/a,n/a,https://www.nasdaq.com/symbol/cca
ISDR,Issuer Direct Corporation,9.18,35458374.24,n/a,n/a,Miscellaneous,Publishing,https://www.nasdaq.com/symbol/isdr
DXR,Daxor Corporation,9.05,33909064.90,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/dxr
WTT,"Wireless Telecom Group,  Inc.",1.56,33228393.12,n/a,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/wtt
WYY,WidePoint Corporation,0.3875,32686019.48,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/wyy
LLEX,"Lilis Energy, Inc.",0.3451,31705505.16,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/llex
LEU,Centrus Energy Corp.,3.2462,30700576.17,n/a,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/leu
GRF,"Eagle Capital Growth Fund, Inc.",7.8822,30683095.12,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/grf
AIRI,Air Industries Group,1.03,29816868.48,n/a,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/airi
CUO,Continental Materials Corporation,16.3835,28105681.26,n/a,n/a,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/cuo
UFAB,"Unique Fabricating, Inc.",2.79,27283820.13,n/a,2015,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/ufab
CVR,Chicago Rivet & Machine Co.,28,27051696.00,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cvr
ZOM,Zomedica Pharmaceuticals Corp.,0.25,27009599.50,n/a,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/zom
AUMN,Golden Minerals Company,0.2427,25701269.61,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aumn
SVT,"Servotronics, Inc.",9.8739,25483351.03,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/svt
