Symbol,Name,LastSale, MarketCap ,ADR TSO,IPOyear,Sector,Industry,Summary Quote
JRO,Nuveen Floating Rate Income Opportuntiy Fund,9.59," 388,790,281 ",n/a,2004,n/a,n/a,https://www.nasdaq.com/symbol/jro
NKG,Nuveen Georgia Quality Municipal Income Fund ,12.6," 131,037,644 ",n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/nkg
JGH,Nuveen Global High Income Fund,15.2," 352,296,374 ",n/a,2014,n/a,n/a,https://www.nasdaq.com/symbol/jgh
JHY,Nuveen High Income 2020 Target Term Fund,10," 157,857,940 ",n/a,2015,n/a,n/a,https://www.nasdaq.com/symbol/jhy
JHAA,Nuveen High Income 2023 Target Term Fund,10.75," 75,250,000 ",n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/jhaa
JHD,Nuveen High Income December 2019 Target Term Fund,9.89," 267,664,246 ",n/a,2016,n/a,n/a,https://www.nasdaq.com/symbol/jhd
JHB,Nuveen High Income November 2021 Target Term Fund,9.88," 552,011,862 ",n/a,2016,n/a,n/a,https://www.nasdaq.com/symbol/jhb
NXC,Nuveen Insured California Select Tax-Free Income Portfolio,15.66," 99,439,935 ",n/a,1992,n/a,n/a,https://www.nasdaq.com/symbol/nxc
NXN,Nuveen Insured New York Select Tax-Free Income Portfolio,13.99," 54,909,267 ",n/a,1992,n/a,n/a,https://www.nasdaq.com/symbol/nxn
NID,Nuveen Intermediate Duration Municipal Term Fund,13.77," 645,946,018 ",n/a,2012,n/a,n/a,https://www.nasdaq.com/symbol/nid
NMY,Nuveen Maryland Quality Municipal Income Fund,13.37," 308,842,508 ",n/a,1993,n/a,n/a,https://www.nasdaq.com/symbol/nmy
NMT,Nuveen Massachusetts Municipal Income Fund,14.24," 132,755,974 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nmt
NUM,Nuveen Michigan Quality Municipal Income Fund,14.32," 289,649,022 ",n/a,1991,n/a,n/a,https://www.nasdaq.com/symbol/num
NMS,Nuveen Minnesota Quality Municipal Income Fund,14.42," 83,382,006 ",n/a,2014,n/a,n/a,https://www.nasdaq.com/symbol/nms
NOM,Nuveen Missouri Quality Municipal Income Fund,13.98," 32,776,473 ",n/a,1993,n/a,n/a,https://www.nasdaq.com/symbol/nom
JLS,Nuveen Mortgage Opportunity Term Fund,23.13," 367,512,431 ",n/a,2009,n/a,n/a,https://www.nasdaq.com/symbol/jls
JMM,Nuveen Multi-Market Income Fund,7.49," 70,873,002 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jmm
NHA,Nuveen Municipal 2021 Target Term Fund,9.81," 84,588,795 ",n/a,2016,n/a,n/a,https://www.nasdaq.com/symbol/nha
NZF,Nuveen Municipal Credit Income Fund,16.32," 2,319,494,786 ",n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/nzf
NMZ,Nuveen Municipal High Income Opportunity Fund,14.36," 921,724,746 ",n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/nmz
NMI,"Nuveen Municipal Income Fund, Inc.",11.48," 100,310,495 ",n/a,1988,n/a,n/a,https://www.nasdaq.com/symbol/nmi
NJV,Nuveen New Jersey Municipal Value Fund,13.97," 21,386,058 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/njv
NXJ,Nuveen New Jersey Quality Municipal Income Fund,14.73," 611,416,950 ",n/a,2001,n/a,n/a,https://www.nasdaq.com/symbol/nxj
NRK,Nuveen New York AMT-Free Quality Municipal,13.6," 1,186,400,134 ",n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/nrk
NYV,Nuveen New York Municipal Value Fund 2,14.73," 34,609,785 ",n/a,2009,n/a,n/a,https://www.nasdaq.com/symbol/nyv
NNY,"Nuveen New York Municipal Value Fund, Inc.",10.24," 155,862,200 ",n/a,1988,n/a,n/a,https://www.nasdaq.com/symbol/nny
NAN,Nuveen New York Quality Municipal Income Fund,14.21," 438,397,428 ",n/a,1999,n/a,n/a,https://www.nasdaq.com/symbol/nan
NNC,Nuveen North Carolina Quality Municipal Income Fd,13.7629," 223,420,147 ",n/a,1993,n/a,n/a,https://www.nasdaq.com/symbol/nnc
NUO,Nuveen Ohio Quality Municipal Income Fund,15.62," 286,110,837 ",n/a,1991,n/a,n/a,https://www.nasdaq.com/symbol/nuo
NPN,Nuveen Pennsylvania Municipal Value Fund,15.6," 19,017,554 ",n/a,2009,n/a,n/a,https://www.nasdaq.com/symbol/npn
NQP,Nuveen Pennsylvania Quality Municipal Income Fund,14.075," 526,170,525 ",n/a,1991,n/a,n/a,https://www.nasdaq.com/symbol/nqp
JPC,Nuveen Preferred & Income Opportunities Fund,9.8," 1,012,658,980 ",n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/jpc
JPS,Nuveen Preferred & Income Securities Fund,9.68," 1,972,589,122 ",n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/jps
JPT,Nuveen Preferred and Income 2022 Term Fund,24.5724," 167,866,326 ",n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/jpt
JPI,Nuveen Preferred and Income Term Fund,24.16," 549,816,561 ",n/a,2012,n/a,n/a,https://www.nasdaq.com/symbol/jpi
NAD,Nuveen Quality Municipal Income Fund,14.54," 2,935,107,896 ",n/a,1999,n/a,n/a,https://www.nasdaq.com/symbol/nad
JRI,Nuveen Real Asset Income and Growth Fund,17.01," 467,250,752 ",n/a,2012,n/a,n/a,https://www.nasdaq.com/symbol/jri
JRS,Nuveen Real Estate Fund,10.62," 306,838,042 ",n/a,2001,n/a,n/a,https://www.nasdaq.com/symbol/jrs
BXMX,Nuveen S&P 500 Buy-Write Income Fund,12.85," 1,332,775,349 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bxmx
